date,pends,anntime,value,,,,
1983,3/31/1983,4/26/1983,0.0375,,,,
1983.25,6/30/1983,7/25/1983,0.0492,,,,
1983.5,9/30/1983,11/2/1983,0.0463,,,,
1983.75,12/31/1983,2/14/1984,0.0379,,,,
1984,3/31/1984,4/19/1984,0.0425,,,,
1984.25,6/30/1984,7/20/1984,0.0583,,,,
1984.5,9/30/1984,10/20/1984,0.0558,,,,
1984.75,12/31/1984,2/21/1985,0.0417,,,,
1985,3/31/1985,4/18/1985,0.045,,,,
1985.25,6/30/1985,7/19/1985,0.0625,,,,
1985.5,9/30/1985,10/18/1985,0.0617,,,,
1985.75,12/31/1985,2/20/1986,0.0463,,,,
1986,3/31/1986,4/17/1986,0.0525,,,,
1986.25,6/30/1986,7/18/1986,0.0725,,,,
1986.5,9/30/1986,10/17/1986,0.075,,,,
1986.75,12/31/1986,2/19/1987,0.0588,,,,
1987,3/31/1987,4/15/1987,0.0612,,,,
1987.25,6/30/1987,7/16/1987,0.0875,,,,
1987.5,9/30/1987,10/16/1987,0.09,,,,
1987.75,12/31/1987,2/17/1988,0.065,,,,
1988,3/31/1988,4/14/1988,0.071,,,,
1988.25,6/30/1988,7/16/1988,0.1025,,,,
1988.5,9/30/1988,10/19/1988,0.101,,,,
1988.75,12/31/1988,2/1/1989,0.081,,,,
1989,3/31/1989,4/13/1989,0.09,,,,
1989.25,6/30/1989,7/13/1989,0.1225,,,,
1989.5,9/30/1989,10/13/1989,0.116,,,,
1989.75,12/31/1989,1/31/1990,0.0825,,,,
1990,3/31/1990,4/18/1990,0.1035,,,,
1990.25,6/30/1990,7/18/1990,0.1525,,,,
1990.5,9/30/1990,10/20/1990,0.145,,,,
1990.75,12/31/1990,2/4/1991,0.11,,,,
1991,3/31/1991,4/17/1991,0.12,,,,
1991.25,6/30/1991,7/17/1991,0.18,,,,
1991.5,9/30/1991,10/16/1991,0.1725,,,,
1991.75,12/31/1991,1/31/1992,0.135,,,,
1992,3/31/1992,4/17/1992,0.145,,,,
1992.25,6/30/1992,7/14/1992,0.22,,,,
1992.5,9/30/1992,10/14/1992,0.205,,,,
1992.75,12/31/1992,1/28/1993,0.155,,,,
1993,3/31/1993,4/13/1993,0.175,,,,
1993.25,6/30/1993,7/16/1993,0.255,,,,
1993.5,9/30/1993,10/22/1993,0.23,,,,
1993.75,12/31/1993,1/28/1994,0.18,,,,
